chart,Time,close,num,ShaHighSD,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.08.09 19:01:00,1.12183,58,9.999999999998899e-05,3.000000000019654e-05,,0,0
EURUSD,2019.08.09 19:00:00,1.12184,59,0,0,,1.999999999990898e-05,1.999999999990898e-05
EURUSD,2019.08.09 18:59:00,1.1221,60,0,8.999999999992347e-05,,0,0
EURUSD,2019.08.09 18:58:00,1.12186,61,0,0,,0.0001100000000000545,7.00000000000145e-05
EURUSD,2019.08.09 18:57:00,1.12192,62,8.999999999992347e-05,6.000000000017103e-05,,0,0
EURUSD,2019.08.09 18:56:00,1.1217,63,2.000000000013102e-05,4.000000000004e-05,,0,0
EURUSD,2019.08.09 18:55:00,1.12161,64,2.999999999997449e-05,1.000000000006551e-05,,0,0
EURUSD,2019.08.09 18:54:00,1.12157,65,5.999999999994898e-05,0,,0,0
EURUSD,2019.08.09 18:53:00,1.1215,66,0,0,,0.000140000000000029,4.000000000004e-05
EURUSD,2019.08.09 18:52:00,1.12151,67,8.000000000008001e-05,2.000000000013102e-05,,0,0
EURUSD,2019.08.09 18:51:00,1.12139,68,1.999999999990898e-05,9.999999999998899e-05,,0,0
EURUSD,2019.08.09 18:50:00,1.12133,69,6.000000000017103e-05,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 18:49:00,1.12128,70,0,0,,0.0001700000000000035,4.999999999988347e-05
EURUSD,2019.08.09 18:48:00,1.12139,71,0,0,,1.000000000006551e-05,2.999999999997449e-05
EURUSD,2019.08.09 18:47:00,1.12159,72,0,0,,0,0
EURUSD,2019.08.09 18:46:00,1.12153,73,0,0,,0,0.0001100000000000545
EURUSD,2019.08.09 18:45:00,1.12159,74,5.999999999994898e-05,0,,0,0
EURUSD,2019.08.09 18:44:00,1.12158,75,4.000000000004e-05,9.999999999843467e-06,,0,0
EURUSD,2019.08.09 18:43:00,1.12141,76,0,0,,1.999999999990898e-05,0.0001700000000000035
EURUSD,2019.08.09 18:42:00,1.12144,77,0,0,,4.999999999988347e-05,0
EURUSD,2019.08.09 18:41:00,1.12165,78,1.999999999990898e-05,9.999999999998899e-05,,0,0
EURUSD,2019.08.09 18:40:00,1.12158,79,0.000180000000000069,0,,0,0
EURUSD,2019.08.09 18:39:00,1.1215,80,5.000000000010552e-05,0,,0,0
EURUSD,2019.08.09 18:38:00,1.12138,81,2.999999999997449e-05,4.000000000004e-05,,0,0
